"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:19:22.2958322 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\LanguagePack\SurrogateFallback","SUCCESS",""
"7:19:22.2961298 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Classes","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"7:19:22.2962148 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2962256 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\COM3","SUCCESS","Desired Access: Read"
"7:19:22.2962377 PM","notepad.exe","5656","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\COM3","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"7:19:22.2962457 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\COM3\Com+Enabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"7:19:22.2962574 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\COM3","SUCCESS",""
"7:19:22.2966804 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\WindowsRuntime","SUCCESS","Desired Access: Read"
"7:19:22.2967045 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId","SUCCESS","Desired Access: Read"
"7:19:22.2967238 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager","SUCCESS","Desired Access: Read"
"7:19:22.2967397 PM","notepad.exe","5656","RegQueryKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager","SUCCESS","Query: Basic, Name: Windows.Security.EnterpriseData.ProtectionPolicyManager"
"7:19:22.2967791 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\ActivationType","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:19:22.2968008 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\Server","NAME NOT FOUND","Length: 144"
"7:19:22.2968591 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\DllPath","SUCCESS","Type: REG_EXPAND_SZ, Length: 84, Data: %SystemRoot%\system32\windows.storage.dll"
"7:19:22.2968757 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\Threading","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:19:22.2968911 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\TrustLevel","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:19:22.2969065 PM","notepad.exe","5656","RegQueryKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2969213 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\CustomAttributes","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2969395 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\RemoteServer","NAME NOT FOUND","Length: 144"
"7:19:22.2969536 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\ActivateAsUser","NAME NOT FOUND","Length: 16"
"7:19:22.2969680 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\ActivateInSharedBroker","NAME NOT FOUND","Length: 16"
"7:19:22.2969817 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\ActivateInBrokerForMediumILContainer","NAME NOT FOUND","Length: 16"
"7:19:22.2969950 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\Permissions","NAME NOT FOUND","Length: 140"
"7:19:22.2970118 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager\ActivateOnHostFlags","NAME NOT FOUND","Length: 16"
"7:19:22.2970281 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2970414 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLE\Diagnosis","NAME NOT FOUND","Desired Access: Read"
